見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
「はかり」の定期検査,計量法に基づく特定計量器（はかり）の定期検査を実施,,,４～１０月,海南市、岩出市、紀の川市、有田市、田辺市本宮町、新宮市、海草郡、有田郡、東牟婁郡,取引や証明にはかりを使用する者,,５００円～（検査手数料）,,県庁商工観光労働総務課※詳しくは要問合せ,,,,,,,,
県男女共同参画審議会委員,業務内容：男女共同参画に関する会議などへの出席（年３回程度） 任期：２年（８月～令和４年７月）,,,,,令和２年４月１日現在、満２０歳以上で県内在住・在勤・在学の方※国または地方公共団体の議員や職員、過去に委員であった方などは除く,２人（選考）,,,,郵送・Eメールで所定の申込書（申込先、振興局総務県民課、市町村、WEBサイトで配布）に小論文（タイトル「男女がともに活躍できる社会づくりに必要なこと」８００字以内）を添えて４月２０日～５月１９日に県庁青少年・男女共同参画課※二次選考は面接（６月１６日和歌山市）を実施Ｅメール　e0314001@pref.wakayama.lg.jp,,,,,,,
ひとり親家庭支援奨学金,支給額（月額）：３００００円※返還不要・他の奨学金併用可,,,支給期間：４月１日から１年間,,ひとり親世帯などの中学３年・高校生などで、就学に関して経済的に困難な状況にあるなどすべての項目に該当する方※選考あり,,,,,郵送で所定の申請書（全国母子寡婦福祉団体協議会のＷＥＢサイトで配布）を４月２８日までに県母子寡婦福祉連合会〒640-8423和歌山市松江中1-4-2電話073-452-2711検索　和歌山県母子寡婦福祉連合会,,,,,,,
看護職員就職説明会,,,,①５月８日（金）１３：３０～１５：３０,県立高等看護学院（紀の川市）,看護職員の有資格者で現在看護業務に従事していない方、令和２年度看護師等学校養成所の卒業予定者,,,,県庁医務課,,,,,,,,
看護職員就職説明会,,,,②５月１２日（火）１３：３０～１５：００,県立なぎ看護学校（新宮市）,看護職員の有資格者で現在看護業務に従事していない方、令和２年度看護師等学校養成所の卒業予定者,,,,県庁医務課,,,,,,,,
手話講習会,,,,５月（西牟婁のみ４月中旬）～（順次開催）,①和歌山市中央コミュニティセンター,手話奉仕員養成基礎編修了者程度の方,,,,,電話で住所、氏名、電話番号を①県庁障害福祉課（FAXの場合は県庁障害福祉課へ　ＦＡＸ073-432-5567),,,,,,,
手話講習会,,,,５月（西牟婁のみ４月中旬）～（順次開催）,②海南保健所,手話奉仕員養成基礎編修了者程度の方,,,,,電話で住所、氏名、電話番号を②～⑨会場地の振興局健康福祉部総務福祉課（FAXの場合は県庁障害福祉課へ　ＦＡＸ073-432-5567）,,,,,,,
手話講習会,,,,５月（西牟婁のみ４月中旬）～（順次開催）,③岩出保健所,手話奉仕員養成基礎編修了者程度の方,,,,,電話で住所、氏名、電話番号を②～⑨会場地の振興局健康福祉部総務福祉課（FAXの場合は県庁障害福祉課へ　ＦＡＸ073-432-5567）,,,,,,,
手話講習会,,,,５月（西牟婁のみ４月中旬）～（順次開催）,④橋本保健所,手話奉仕員養成基礎編修了者程度の方,,,,,電話で住所、氏名、電話番号を②～⑨会場地の振興局健康福祉部総務福祉課（FAXの場合は県庁障害福祉課へ　ＦＡＸ073-432-5567）,,,,,,,
手話講習会,,,,５月（西牟婁のみ４月中旬）～（順次開催）,⑤湯浅保健所,手話奉仕員養成基礎編修了者程度の方,,,,,電話で住所、氏名、電話番号を②～⑨会場地の振興局健康福祉部総務福祉課（FAXの場合は県庁障害福祉課へ　ＦＡＸ073-432-5567）,,,,,,,
手話講習会,,,,５月（西牟婁のみ４月中旬）～（順次開催）,⑥御坊保健所,手話奉仕員養成基礎編修了者程度の方,,,,,電話で住所、氏名、電話番号を②～⑨会場地の振興局健康福祉部総務福祉課（FAXの場合は県庁障害福祉課へ　ＦＡＸ073-432-5567）,,,,,,,
手話講習会,,,,５月（西牟婁のみ４月中旬）～（順次開催）,⑦田辺市民総合センター,手話奉仕員養成基礎編修了者程度の方,,,,,電話で住所、氏名、電話番号を②～⑨会場地の振興局健康福祉部総務福祉課（FAXの場合は県庁障害福祉課へ　ＦＡＸ073-432-5567）,,,,,,,
手話講習会,,,,５月（西牟婁のみ４月中旬）～（順次開催）,⑧新宮保健所,手話奉仕員養成基礎編修了者程度の方,,,,,電話で住所、氏名、電話番号を②～⑨会場地の振興局健康福祉部総務福祉課（FAXの場合は県庁障害福祉課へ　ＦＡＸ073-432-5567）,,,,,,,
手話講習会,,,,５月（西牟婁のみ４月中旬）～（順次開催）,⑨新宮保健所串本支所,手話奉仕員養成基礎編修了者程度の方,,,,,電話で住所、氏名、電話番号を②～⑨会場地の振興局健康福祉部総務福祉課（⑨は串本支所地域福祉課）（FAXの場合は県庁障害福祉課へ　ＦＡＸ073-432-5567）,,,,,,,
南葵音楽文庫アカデミー,通年履修者の募集,,,開催日程は要問合わせ,,,２０人（抽選）,資料代実費,,,郵送、ＦＡＸ、Eメール、来所で住所、氏名、電話（FAX)番号、希望講座名を４月１４日～５月２０日に県立図書館〒641-0051和歌山市西高松1-7-38電話073-436-9520FAX073-436-9511Eメールevent2020@lib.wakayama-c.ed.jp検索　南葵音楽文庫,,,,,,,
